id,aro_id,aco_id,_create,_read,_update,_delete
963,4,280,-1,-1,-1,-1
964,5,280,-1,-1,-1,-1
965,6,280,-1,-1,-1,-1
966,7,280,-1,-1,-1,-1
967,1,281,1,1,1,1
968,3,281,-1,-1,-1,-1
969,4,281,-1,-1,-1,-1
970,5,281,-1,-1,-1,-1
971,6,281,-1,-1,-1,-1
972,7,281,-1,-1,-1,-1
973,1,301,-1,-1,-1,-1
974,3,301,1,1,1,1
975,4,301,-1,-1,-1,-1
976,5,301,-1,-1,-1,-1
977,6,301,-1,-1,-1,-1
978,7,301,-1,-1,-1,-1
979,1,302,-1,-1,-1,-1
980,3,302,1,1,1,1
981,4,302,-1,-1,-1,-1
982,5,302,-1,-1,-1,-1
983,6,302,-1,-1,-1,-1
984,7,302,-1,-1,-1,-1
985,1,303,-1,-1,-1,-1
986,3,303,1,1,1,1
987,4,303,-1,-1,-1,-1
988,5,303,-1,-1,-1,-1
989,6,303,-1,-1,-1,-1
990,7,303,-1,-1,-1,-1
991,1,304,-1,-1,-1,-1
992,3,304,1,1,1,1
993,4,304,-1,-1,-1,-1
994,5,304,-1,-1,-1,-1
995,6,304,-1,-1,-1,-1
996,7,304,-1,-1,-1,-1
997,1,305,-1,-1,-1,-1
998,3,305,1,1,1,1
999,4,305,-1,-1,-1,-1
1000,5,305,-1,-1,-1,-1
1001,6,305,-1,-1,-1,-1
1002,7,305,-1,-1,-1,-1
1003,1,306,-1,-1,-1,-1
1004,3,306,1,1,1,1
1005,4,306,-1,-1,-1,-1
1006,5,306,-1,-1,-1,-1
1007,6,306,-1,-1,-1,-1
1008,7,306,-1,-1,-1,-1
1009,1,307,-1,-1,-1,-1
1010,3,307,1,1,1,1
1011,4,307,-1,-1,-1,-1
1012,5,307,-1,-1,-1,-1
1013,6,307,-1,-1,-1,-1
1014,7,307,-1,-1,-1,-1
1015,1,308,-1,-1,-1,-1
1016,3,308,1,1,1,1
1017,4,308,-1,-1,-1,-1
1018,5,308,-1,-1,-1,-1
1019,6,308,-1,-1,-1,-1
1020,7,308,-1,-1,-1,-1
1021,1,316,-1,-1,-1,-1
1022,3,316,-1,-1,-1,-1
1023,4,316,-1,-1,-1,-1
1024,5,316,-1,-1,-1,-1
1025,6,316,1,1,1,1
1026,7,316,1,1,1,1
1027,1,317,-1,-1,-1,-1
1028,3,317,-1,-1,-1,-1
1029,4,317,-1,-1,-1,-1
1030,5,317,-1,-1,-1,-1
1031,6,317,1,1,1,1
1032,7,317,1,1,1,1
1033,1,318,-1,-1,-1,-1
1034,3,318,-1,-1,-1,-1
1035,4,318,-1,-1,-1,-1
1036,5,318,-1,-1,-1,-1
1037,6,318,1,1,1,1
1038,7,318,-1,-1,-1,-1
1039,1,319,-1,-1,-1,-1
1040,3,319,-1,-1,-1,-1
1041,4,319,-1,-1,-1,-1
1042,5,319,-1,-1,-1,-1
1043,6,319,1,1,1,1
1044,7,319,1,1,1,1
1045,1,320,-1,-1,-1,-1
1046,3,320,-1,-1,-1,-1
1047,4,320,-1,-1,-1,-1
1048,5,320,-1,-1,-1,-1
1049,6,320,1,1,1,1
1050,7,320,1,1,1,1
1051,1,321,-1,-1,-1,-1
1052,3,321,1,1,1,1
1053,4,321,-1,-1,-1,-1
1054,5,321,-1,-1,-1,-1
1055,6,321,-1,-1,-1,-1
1056,7,321,-1,-1,-1,-1
1057,1,322,-1,-1,-1,-1
1058,3,322,-1,-1,-1,-1
1059,4,322,-1,-1,-1,-1
1060,5,322,-1,-1,-1,-1
1061,6,322,-1,-1,-1,-1
1062,7,322,1,1,1,1
1063,1,323,1,1,1,1
1064,3,323,1,1,1,1
1065,4,323,-1,-1,-1,-1
1066,5,323,-1,-1,-1,-1
1067,6,323,-1,-1,-1,-1
1068,7,323,-1,-1,-1,-1
1069,1,324,1,1,1,1
1070,3,324,1,1,1,1
1071,4,324,-1,-1,-1,-1
1072,5,324,-1,-1,-1,-1
1073,6,324,-1,-1,-1,-1
1074,7,324,-1,-1,-1,-1
1075,1,327,-1,-1,-1,-1
1076,3,327,-1,-1,-1,-1
1077,4,327,-1,-1,-1,-1
1078,5,327,-1,-1,-1,-1
1079,6,327,-1,-1,-1,-1
1080,7,327,1,1,1,1
1081,1,328,-1,-1,-1,-1
1082,3,328,-1,-1,-1,-1
1083,4,328,-1,-1,-1,-1
1084,5,328,-1,-1,-1,-1
1085,6,328,1,1,1,1
1086,7,328,1,1,1,1
1087,1,329,-1,-1,-1,-1
1088,3,329,-1,-1,-1,-1
1089,4,329,-1,-1,-1,-1
1090,5,329,-1,-1,-1,-1
1091,6,329,1,1,1,1
1092,7,329,1,1,1,1
1093,1,330,-1,-1,-1,-1
1094,3,330,-1,-1,-1,-1
1095,4,330,-1,-1,-1,-1
1096,5,330,-1,-1,-1,-1
1097,6,330,1,1,1,1
1098,7,330,1,1,1,1
1099,1,331,-1,-1,-1,-1
1100,3,331,-1,-1,-1,-1
1101,4,331,-1,-1,-1,-1
1102,5,331,-1,-1,-1,-1
1103,6,331,1,1,1,1
1104,7,331,1,1,1,1
1105,1,332,-1,-1,-1,-1
1106,3,332,-1,-1,-1,-1
1107,4,332,-1,-1,-1,-1
1108,5,332,-1,-1,-1,-1
1109,6,332,1,1,1,1
1110,7,332,-1,-1,-1,-1
1111,1,333,-1,-1,-1,-1
1112,3,333,1,1,1,1
1113,4,333,-1,-1,-1,-1
1114,5,333,-1,-1,-1,-1
1115,6,333,-1,-1,-1,-1
1116,7,333,-1,-1,-1,-1
1117,1,334,-1,-1,-1,-1
1118,3,334,1,1,1,1
1119,4,334,-1,-1,-1,-1
1120,5,334,-1,-1,-1,-1
1121,6,334,-1,-1,-1,-1
1122,7,334,-1,-1,-1,-1
1123,1,335,-1,-1,-1,-1
1124,3,335,1,1,1,1
1125,4,335,-1,-1,-1,-1
1126,5,335,-1,-1,-1,-1
1127,6,335,-1,-1,-1,-1
1128,7,335,-1,-1,-1,-1
1129,3,158,1,1,1,1
1130,4,158,1,1,1,1
1131,5,158,1,1,1,1
1132,6,158,1,1,1,1
1133,7,158,1,1,1,1
1134,1,214,1,1,1,1
1135,3,214,1,1,1,1
1136,4,214,1,1,1,1
1137,5,214,1,1,1,1
1138,6,214,1,1,1,1
1139,7,214,1,1,1,1
1140,53,331,-1,-1,-1,-1
1141,53,320,-1,-1,-1,-1
1142,53,158,1,1,1,1
1143,53,159,1,1,1,1
1144,53,208,1,1,1,1
1145,53,217,1,1,1,1
1146,53,214,1,1,1,1
1147,53,89,-1,-1,-1,-1
1148,1,337,-1,-1,-1,-1
1149,3,337,1,1,1,1
1150,4,337,-1,-1,-1,-1
1151,5,337,-1,-1,-1,-1
1152,6,337,-1,-1,-1,-1
1153,7,337,-1,-1,-1,-1
1154,53,337,-1,-1,-1,-1
1155,53,198,-1,-1,-1,-1
1156,53,199,-1,-1,-1,-1
1157,1,338,-1,-1,-1,-1
1158,3,338,-1,-1,-1,-1
1159,4,338,1,1,1,1
1160,5,338,-1,-1,-1,-1
1161,6,338,-1,-1,-1,-1
1162,7,338,-1,-1,-1,-1
1163,53,338,-1,-1,-1,-1
1164,1,339,-1,-1,-1,-1
1165,3,339,-1,-1,-1,-1
1166,4,339,1,1,1,1
1167,5,339,-1,-1,-1,-1
1168,6,339,-1,-1,-1,-1
1169,7,339,-1,-1,-1,-1
1170,53,339,-1,-1,-1,-1
1171,1,340,-1,-1,-1,-1
1172,3,340,-1,-1,-1,-1
1173,4,340,1,1,1,1
1174,5,340,-1,-1,-1,-1
1175,6,340,-1,-1,-1,-1
1176,7,340,-1,-1,-1,-1
1177,53,340,-1,-1,-1,-1
1178,1,341,-1,-1,-1,-1
1179,3,341,-1,-1,-1,-1
1180,4,341,1,1,1,1
1181,5,341,-1,-1,-1,-1
1182,6,341,-1,-1,-1,-1
1183,7,341,-1,-1,-1,-1
1184,53,341,-1,-1,-1,-1
1185,1,342,-1,-1,-1,-1
1186,3,342,1,1,1,1
1187,4,342,-1,-1,-1,-1
1188,5,342,-1,-1,-1,-1
1189,6,342,-1,-1,-1,-1
1190,7,342,-1,-1,-1,-1
1191,53,342,-1,-1,-1,-1
1192,1,343,-1,-1,-1,-1
1193,3,343,-1,-1,-1,-1
1194,4,343,-1,-1,-1,-1
1195,5,343,-1,-1,-1,-1
1196,6,343,-1,-1,-1,-1
1197,7,343,1,1,1,1
1198,53,343,-1,-1,-1,-1
1199,1,344,-1,-1,-1,-1
1200,3,344,-1,-1,-1,-1
1201,4,344,-1,-1,-1,-1
1202,5,344,-1,-1,-1,-1
1203,6,344,-1,-1,-1,-1
1204,7,344,1,1,1,1
1205,53,344,-1,-1,-1,-1
1206,1,345,-1,-1,-1,-1
1207,3,345,-1,-1,-1,-1
1208,4,345,-1,-1,-1,-1
1209,5,345,-1,-1,-1,-1
1210,6,345,-1,-1,-1,-1
1211,7,345,1,1,1,1
1212,53,345,-1,-1,-1,-1
1213,53,164,-1,-1,-1,-1
1214,53,165,-1,-1,-1,-1
1215,53,21,-1,-1,-1,-1
1216,53,22,-1,-1,-1,-1
1217,53,23,-1,-1,-1,-1
1218,53,24,-1,-1,-1,-1
1219,53,57,-1,-1,-1,-1
1220,53,58,-1,-1,-1,-1
1221,53,59,-1,-1,-1,-1
1222,53,60,-1,-1,-1,-1
1223,53,83,-1,-1,-1,-1
1224,53,84,-1,-1,-1,-1
1225,53,85,-1,-1,-1,-1
1226,53,86,-1,-1,-1,-1
1227,53,105,-1,-1,-1,-1
1228,53,106,-1,-1,-1,-1
1229,53,107,-1,-1,-1,-1
1230,53,108,-1,-1,-1,-1
1231,53,119,-1,-1,-1,-1
1232,53,120,-1,-1,-1,-1
1233,53,121,-1,-1,-1,-1
1234,53,122,-1,-1,-1,-1
1235,53,141,-1,-1,-1,-1
1236,53,142,-1,-1,-1,-1
1237,53,143,-1,-1,-1,-1
1238,53,144,-1,-1,-1,-1
1239,53,222,-1,-1,-1,-1
1240,53,223,-1,-1,-1,-1
1241,53,224,-1,-1,-1,-1
1242,53,225,-1,-1,-1,-1
1243,53,233,-1,-1,-1,-1
1244,53,234,-1,-1,-1,-1
1245,53,235,-1,-1,-1,-1
1246,53,236,-1,-1,-1,-1
1247,53,316,-1,-1,-1,-1
1248,53,317,-1,-1,-1,-1
1249,53,318,-1,-1,-1,-1
1250,53,319,-1,-1,-1,-1
1251,53,328,-1,-1,-1,-1
1252,53,329,-1,-1,-1,-1
1253,53,330,-1,-1,-1,-1
1254,1,346,-1,-1,-1,-1
1255,3,346,-1,-1,-1,-1
1256,4,346,1,1,1,1
1257,5,346,-1,-1,-1,-1
1258,6,346,-1,-1,-1,-1
1259,7,346,-1,-1,-1,-1
1260,53,346,-1,-1,-1,-1
1261,1,347,-1,-1,-1,-1
1262,3,347,-1,-1,-1,-1
1263,4,347,1,1,1,1
1264,5,347,-1,-1,-1,-1
1265,6,347,-1,-1,-1,-1
1266,7,347,-1,-1,-1,-1
1267,53,347,-1,-1,-1,-1
1268,1,348,-1,-1,-1,-1
1269,3,348,-1,-1,-1,-1
1270,4,348,1,1,1,1
1271,5,348,-1,-1,-1,-1
1272,6,348,-1,-1,-1,-1
1273,7,348,-1,-1,-1,-1
1274,53,348,-1,-1,-1,-1
1275,1,349,-1,-1,-1,-1
1276,3,349,-1,-1,-1,-1
1277,4,349,1,1,1,1
1278,5,349,-1,-1,-1,-1
1279,6,349,-1,-1,-1,-1
1280,7,349,-1,-1,-1,-1
1281,53,349,-1,-1,-1,-1
1282,1,350,-1,-1,-1,-1
1283,3,350,-1,-1,-1,-1
1284,4,350,1,1,1,1
1285,5,350,-1,-1,-1,-1
1286,6,350,-1,-1,-1,-1
1287,7,350,-1,-1,-1,-1
1288,53,350,-1,-1,-1,-1
1289,1,351,-1,-1,-1,-1
1290,3,351,-1,-1,-1,-1
1291,4,351,1,1,1,1
1292,5,351,-1,-1,-1,-1
1293,6,351,-1,-1,-1,-1
1294,7,351,-1,-1,-1,-1
1295,53,351,-1,-1,-1,-1
1296,1,352,-1,-1,-1,-1
1297,3,352,-1,-1,-1,-1
1298,4,352,1,1,1,1
1299,5,352,-1,-1,-1,-1
1300,6,352,-1,-1,-1,-1
1301,7,352,-1,-1,-1,-1
1302,53,352,-1,-1,-1,-1
1303,1,353,-1,-1,-1,-1
1304,3,353,-1,-1,-1,-1
1305,4,353,1,1,1,1
1306,5,353,-1,-1,-1,-1
1307,6,353,-1,-1,-1,-1
1308,7,353,-1,-1,-1,-1
1309,53,353,-1,-1,-1,-1
1310,1,354,-1,-1,-1,-1
1311,3,354,-1,-1,-1,-1
1312,4,354,1,1,1,1
1313,5,354,-1,-1,-1,-1
1314,6,354,-1,-1,-1,-1
1315,7,354,-1,-1,-1,-1
1316,53,354,-1,-1,-1,-1
1317,1,355,-1,-1,-1,-1
1318,3,355,-1,-1,-1,-1
1319,4,355,1,1,1,1
1320,5,355,-1,-1,-1,-1
1321,6,355,-1,-1,-1,-1
1322,7,355,-1,-1,-1,-1
1323,53,355,-1,-1,-1,-1
1324,1,356,-1,-1,-1,-1
